Pressure_GPa,Tc_K
0.000000000000000000e+00,1.501011838907536173e+02
1.337792642140468169e-01,1.501013621770167674e+02
2.675585284280936338e-01,1.501015393289864335e+02
4.013377926421404229e-01,1.501017153619345379e+02
5.351170568561872676e-01,1.501018902908150778e+02
6.688963210702341122e-01,1.501020641302731349e+02
8.026755852842808459e-01,1.501022368946536574e+02
9.364548494983276905e-01,1.501024085980096174e+02
1.070234113712374535e+00,1.501025792541101964e+02
1.204013377926421269e+00,1.501027488764484303e+02
1.337792642140468224e+00,1.501029174782488269e+02
1.471571906354515180e+00,1.501030850724744994e+02
1.605351170568561692e+00,1.501032516718343004e+02
1.739130434782608647e+00,1.501034172887892453e+02
1.872909698996655381e+00,1.501035819355597312e+02
2.006688963210702337e+00,1.501037456241310224e+02
2.140468227424749070e+00,1.501039083662599580e+02
2.274247491638795804e+00,1.501040701734805225e+02
2.408026755852842538e+00,1.501042310571098142e+02
2.541806020066889715e+00,1.501043910282533886e+02
2.675585284280936449e+00,1.501045500978106304e+02
2.809364548494983183e+00,1.501047082764801246e+02
2.943143812709030360e+00,1.501048655747643465e+02
3.076923076923076650e+00,1.501050220029748061e+02
3.210702341137123383e+00,1.501051775712365952e+02
3.344481605351170561e+00,1.501053322894931910e+02
3.478260869565217295e+00,1.501054861675103211e+02
3.612040133779264028e+00,1.501056392148809664e+02
3.745819397993310762e+00,1.501057914410289982e+02
3.879598662207357496e+00,1.501059428552134136e+02
4.013377926421404673e+00,1.501060934665321724e+02
4.147157190635451407e+00,1.501062432839261191e+02
4.280936454849498141e+00,1.501063923161823084e+02
4.414715719063544874e+00,1.501065405719382113e+02
4.548494983277591608e+00,1.501066880596844726e+02
4.682274247491638342e+00,1.501068347877687472e+02
4.816053511705685075e+00,1.501069807643988270e+02
4.949832775919731809e+00,1.501071259976457100e+02
5.083612040133779431e+00,1.501072704954468691e+02
5.217391304347826164e+00,1.501074142656091226e+02
5.351170568561872898e+00,1.501075573158115617e+02
5.484949832775919631e+00,1.501076996536084494e+02
5.618729096989966365e+00,1.501078412864318352e+02
5.752508361204013099e+00,1.501079822215943693e+02
5.886287625418060721e+00,1.501081224662918316e+02
6.020066889632106566e+00,1.501082620276056332e+02
6.153846153846153300e+00,1.501084009125053171e+02
6.287625418060200033e+00,1.501085391278510031e+02
6.421404682274246767e+00,1.501086766803955754e+02
6.555183946488294389e+00,1.501088135767870710e+02
6.688963210702341122e+00,1.501089498235709243e+02
6.822742474916387856e+00,1.501090854271917578e+02
6.956521739130434590e+00,1.501092203939960541e+02
7.090301003344481323e+00,1.501093547302337186e+02
7.224080267558528057e+00,1.501094884420602682e+02
7.357859531772574790e+00,1.501096215355387358e+02
7.491638795986621524e+00,1.501097540166414603e+02
7.625418060200668258e+00,1.501098858912521052e+02
7.759197324414714991e+00,1.501100171651672213e+02
7.892976588628762613e+00,1.501101478440982078e+02
8.026755852842809347e+00,1.501102779336727622e+02
8.160535117056856080e+00,1.501104074394368411e+02
8.294314381270902814e+00,1.501105363668559676e+02
8.428093645484949548e+00,1.501106647213170220e+02
8.561872909698996281e+00,1.501107925081296344e+02
8.695652173913041239e+00,1.501109197325278046e+02
8.829431438127089748e+00,1.501110463996712667e+02
8.963210702341136482e+00,1.501111725146469382e+02
9.096989966555183216e+00,1.501112980824702845e+02
9.230769230769229949e+00,1.501114231080868535e+02
9.364548494983276683e+00,1.501115475963732422e+02
9.498327759197323417e+00,1.501116715521388016e+02
9.632107023411370150e+00,1.501117949801265468e+02
9.765886287625416884e+00,1.501119178850146625e+02
9.899665551839463618e+00,1.501120402714174702e+02
1.003344481605351213e+01,1.501121621438867919e+02
1.016722408026755886e+01,1.501122835069130304e+02
1.030100334448160559e+01,1.501124043649262205e+02
1.043478260869565233e+01,1.501125247222972519e+02
1.056856187290969906e+01,1.501126445833388061e+02
1.070234113712374580e+01,1.501127639523065511e+02
1.083612040133779253e+01,1.501128828334000502e+02
1.096989966555183926e+01,1.501130012307637571e+02
1.110367892976588600e+01,1.501131191484880389e+02
1.123745819397993273e+01,1.501132365906102279e+02
1.137123745819397946e+01,1.501133535611152752e+02
1.150501672240802620e+01,1.501134700639369441e+02
1.163879598662207293e+01,1.501135861029586351e+02
1.177257525083612144e+01,1.501137016820141241e+02
1.190635451505016640e+01,1.501138168048885291e+02
1.204013377926421313e+01,1.501139314753191911e+02
1.217391304347825987e+01,1.501140456969963566e+02
